projectId,status,updateTime,guaranteeWay,guaranteeContent,guarantorOrAgency,extraGuarantee
10000010000000094,9,2015-04-05 18:06:44,0,1,马星,1
10000010000000095,10,2015-04-15 18:06:44,1,0,孙总,1
10000010000000096,10,2015-05-08 18:06:44,1,1,沈晓东,1
10000010000000097,10,2015-03-19 18:06:44,1,1,马龙,0
10000010000000098,9,2015-05-15 18:06:44,0,0,卫小小,0
10000010000000099,9,2015-06-05 18:06:44,1,0,何花,0
10000010000000100,10,2015-05-01 18:06:44,0,0,马娜娜,0
10000010000000101,9,2015-04-04 18:06:44,1,0,柳龙,0
10000010000000102,9,2015-03-18 18:06:44,1,0,冯亮亮,1
10000010000000103,10,2015-05-03 18:06:44,1,1,钱天明,1
10000010000000104,9,2015-05-20 18:06:44,1,1,周峰,1
10000010000000105,10,2015-05-28 18:06:44,0,1,陈花,1
10000010000000106,9,2015-03-16 18:06:44,1,1,张一菲,0
10000010000000107,10,2015-03-29 18:06:44,0,1,郑总,1
10000010000000108,9,2015-03-29 18:06:44,0,0,张小小,1
10000010000000109,9,2015-04-19 18:06:44,0,0,韩浩,0
10000010000000110,10,2015-05-30 18:06:44,0,1,李星,1
10000010000000111,9,2015-06-07 18:06:44,0,1,钱娜娜,0
10000010000000112,10,2015-05-01 18:06:44,1,1,钱一菲,1
10000010000000113,10,2015-03-31 18:06:44,0,0,孙贤重,1
10000010000000114,10,2015-03-26 18:06:44,1,1,周雨,1
10000010000000115,9,2015-05-01 18:06:44,1,1,冯亮亮,1
10000010000000116,9,2015-06-08 18:06:44,0,0,张夜,1
10000010000000117,9,2015-05-25 18:06:44,1,1,吴晓东,0
10000010000000118,9,2015-04-22 18:06:44,1,1,孙浩,0
10000010000000119,9,2015-04-19 18:06:44,0,1,钱夜,1
10000010000000120,10,2015-04-24 18:06:44,1,0,韩花,0
10000010000000121,10,2015-05-07 18:06:44,0,1,吴总,0
10000010000000122,9,2015-06-07 18:06:44,1,1,王楠楠,1
10000010000000123,9,2015-03-31 18:06:44,1,0,杨小小,0
10000010000000124,10,2015-03-24 18:06:44,0,1,杨夜,1
10000010000000125,9,2015-04-17 18:06:44,1,0,胡年,0
10000010000000126,9,2015-04-03 18:06:44,0,1,陈亮亮,0
10000010000000127,10,2015-05-24 18:06:44,1,0,潘浙东,1
10000010000000128,10,2015-06-09 18:06:44,0,0,郑总,0
10000010000000129,10,2015-04-16 18:06:44,0,1,胡峰,1
10000010000000130,10,2015-03-29 18:06:44,1,0,卫浙东,1
10000010000000131,9,2015-03-13 18:06:44,1,1,马阳,1
10000010000000132,9,2015-05-31 18:06:44,0,1,韩赏,1
10000010000000133,9,2015-03-15 18:06:44,0,1,郑楠楠,0
10000010000000134,10,2015-03-16 18:06:44,0,0,沈浙东,1
10000010000000135,10,2015-03-31 18:06:44,1,0,杨阳,0
10000010000000136,10,2015-03-21 18:06:44,1,1,杨浩,0
10000010000000137,9,2015-04-02 18:06:44,1,1,赵一菲,0
10000010000000138,9,2015-05-11 18:06:44,0,1,潘晓东,1
10000010000000139,10,2015-03-23 18:06:44,1,0,韩阳,1
10000010000000140,9,2015-05-29 18:06:44,0,1,韩浙东,1
10000010000000141,10,2015-04-28 18:06:44,1,1,朱花,1
10000010000000142,9,2015-03-23 18:06:44,1,0,钱夜,1
10000010000000143,10,2015-04-15 18:06:44,1,0,钱峰,0
10000010000000144,9,2015-04-15 18:06:44,1,0,冯娜娜,1
10000010000000145,9,2015-05-24 18:06:44,0,1,钱贤重,1
10000010000000146,9,2015-03-22 18:06:44,0,0,蒋小小,0
10000010000000147,10,2015-04-19 18:06:44,1,0,潘花,0
10000010000000148,10,2015-05-13 18:06:44,0,0,钱龙,0
10000010000000149,9,2015-05-11 18:06:44,1,0,杨赏,0
10000010000000150,10,2015-05-04 18:06:44,0,0,杨小小,0
10000010000000151,9,2015-06-06 18:06:44,1,1,周花,1
10000010000000152,9,2015-03-31 18:06:44,0,0,周明浩,0
10000010000000153,10,2015-04-11 18:06:44,1,0,郑亮亮,0
10000010000000154,10,2015-04-07 18:06:44,1,1,朱贤重,1
10000010000000155,10,2015-04-12 18:06:44,0,1,钱阳,1
10000010000000156,9,2015-04-20 18:06:44,1,0,柳龙,0
10000010000000157,10,2015-05-19 18:06:44,0,0,蒋年,0
10000010000000158,10,2015-04-16 18:06:44,1,1,卫浙东,0
10000010000000159,9,2015-03-19 18:06:44,0,0,马阳,0
10000010000000160,9,2015-05-02 18:06:44,0,0,朱年,1
10000010000000161,9,2015-05-31 18:06:44,0,0,马总,1
10000010000000162,10,2015-04-01 18:06:44,0,0,孙雨,0
10000010000000163,9,2015-04-13 18:06:44,0,0,冯花,1
10000010000000164,9,2015-04-02 18:06:44,0,1,郑小小,0
10000010000000165,10,2015-04-25 18:06:44,0,1,钱修,1
10000010000000166,10,2015-03-12 18:06:44,1,0,陈亮亮,1
10000010000000167,9,2015-05-15 18:06:44,0,1,钱阳,0
10000010000000168,10,2015-04-29 18:06:44,0,1,钱娜娜,0
10000010000000169,9,2015-04-13 18:06:44,1,0,赵夜,0
10000010000000170,9,2015-03-30 18:06:44,0,0,马明浩,0
10000010000000171,9,2015-05-02 18:06:44,1,0,沈月月,0
10000010000000172,9,2015-04-22 18:06:44,0,0,马亮亮,1
10000010000000173,9,2015-04-03 18:06:44,0,0,朱一菲,0
10000010000000174,9,2015-03-28 18:06:44,0,0,潘夜,0
10000010000000175,9,2015-06-01 18:06:44,0,1,钱一菲,1
10000010000000176,10,2015-05-05 18:06:44,1,0,杨浩,1
10000010000000177,10,2015-05-03 18:06:44,1,0,钱龙,0
10000010000000178,9,2015-06-07 18:06:44,1,0,杨楠楠,1
10000010000000179,10,2015-03-15 18:06:44,0,1,钱娜娜,1
10000010000000180,9,2015-03-29 18:06:44,1,0,周明浩,0
10000010000000181,10,2015-03-26 18:06:44,1,1,胡娜娜,1
10000010000000182,10,2015-05-13 18:06:44,0,0,冯小小,1
10000010000000183,10,2015-03-14 18:06:44,1,0,钱晓东,0
10000010000000184,9,2015-03-28 18:06:44,1,0,何贤重,1
10000010000000185,10,2015-05-07 18:06:44,1,1,马明浩,1
10000010000000186,10,2015-04-24 18:06:44,0,0,卫夜,1
10000010000000187,10,2015-04-03 18:06:44,1,1,吴贤重,1
10000010000000188,10,2015-04-17 18:06:44,0,1,赵晓东,1
10000010000000189,9,2015-04-23 18:06:44,1,0,蒋浙东,1
10000010000000190,10,2015-03-14 18:06:44,1,0,孙年,0
10000010000000191,10,2015-03-28 18:06:44,0,0,卫年,0
10000010000000192,9,2015-03-31 18:06:44,1,1,马静,1
10000010000000193,9,2015-05-30 18:06:44,1,1,马小小,0
10000010000000194,10,2015-03-17 18:06:44,1,1,张静,0
10000010000000195,10,2015-04-26 18:06:44,0,1,卫楠楠,1
10000010000000196,10,2015-04-09 18:06:44,1,1,何龙,1
10000010000000197,9,2015-05-05 18:06:44,1,0,杨贤重,1
10000010000000198,9,2015-03-14 18:06:44,0,0,钱夜,0
10000010000000199,9,2015-03-28 18:06:44,0,1,潘晓东,0
10000010000000200,9,2015-04-27 18:06:44,1,0,潘明浩,0
10000010000000201,9,2015-05-26 18:06:44,1,1,柳雨,1
10000010000000202,9,2015-03-26 18:06:44,0,1,吴龙,1
10000010000000203,9,2015-05-18 18:06:44,0,1,韩晓东,0
10000010000000204,10,2015-05-26 18:06:44,1,0,孙贤重,0
10000010000000205,10,2015-05-03 18:06:44,0,1,周总,0
10000010000000206,9,2015-06-02 18:06:44,1,0,马一菲,1
10000010000000207,9,2015-04-22 18:06:44,0,1,钱龙,0
10000010000000208,10,2015-04-24 18:06:44,1,1,张一菲,0
10000010000000209,9,2015-03-15 18:06:44,0,0,马夜,0
10000010000000210,10,2015-05-31 18:06:44,1,1,卫雨,0
10000010000000211,10,2015-04-05 18:06:44,1,1,赵年,1
10000010000000212,10,2015-05-25 18:06:44,0,1,周花,1
10000010000000213,9,2015-04-23 18:06:44,0,1,陈天明,0
10000010000000214,10,2015-05-31 18:06:44,1,0,朱浩,1
10000010000000215,9,2015-04-28 18:06:44,1,0,沈赏,0
10000010000000216,9,2015-04-17 18:06:44,0,1,孙总,0
10000010000000217,9,2015-04-26 18:06:44,1,0,沈天明,0
10000010000000218,10,2015-04-10 18:06:44,0,1,钱明浩,1
10000010000000219,9,2015-04-27 18:06:44,0,1,沈亮亮,1
10000010000000220,9,2015-04-20 18:06:44,0,0,陈阳,0
10000010000000221,10,2015-04-23 18:06:44,0,1,何总,0
10000010000000222,9,2015-05-19 18:06:44,1,1,沈楠楠,0
10000010000000223,9,2015-05-29 18:06:44,0,1,沈赏,0
10000010000000224,10,2015-03-31 18:06:44,0,1,李楠楠,1
10000010000000225,9,2015-04-25 18:06:44,0,0,韩明浩,0
10000010000000226,10,2015-05-19 18:06:44,0,0,朱月月,1
10000010000000227,9,2015-06-07 18:06:44,0,1,刘亮亮,1
10000010000000228,10,2015-03-22 18:06:44,1,0,张阳,0
10000010000000229,10,2015-04-06 18:06:44,0,0,张明浩,0
10000010000000230,10,2015-04-22 18:06:44,0,1,赵总,1
10000010000000231,10,2015-06-08 18:06:44,1,1,蒋天明,1
10000010000000232,9,2015-04-16 18:06:44,1,0,李浩,0
10000010000000233,9,2015-05-20 18:06:44,1,0,何天明,0
10000010000000234,10,2015-05-04 18:06:44,0,1,蒋雨,0
10000010000000235,10,2015-03-24 18:06:44,0,1,钱天明,0
10000010000000236,10,2015-06-05 18:06:44,1,1,柳峰,1
10000010000000237,9,2015-05-24 18:06:44,1,0,刘娜娜,1
10000010000000238,9,2015-05-14 18:06:44,0,0,冯赏,0
10000010000000239,9,2015-04-12 18:06:44,1,1,王小小,0
10000010000000240,10,2015-03-17 18:06:44,0,1,钱总,1
10000010000000241,9,2015-04-13 18:06:44,1,1,张阳,0
10000010000000242,10,2015-03-15 18:06:44,0,1,周明浩,0
10000010000000243,10,2015-03-31 18:06:44,0,0,钱年,1
10000010000000244,10,2015-04-07 18:06:44,1,0,蒋峰,1
10000010000000245,9,2015-04-11 18:06:44,1,0,卫阳,1
10000010000000246,9,2015-05-20 18:06:44,0,0,张明浩,1
10000010000000247,10,2015-04-06 18:06:44,1,0,冯雨,1
10000010000000248,9,2015-04-27 18:06:44,0,0,韩晓东,1
10000010000000249,10,2015-05-02 18:06:44,1,0,沈贤重,0
10000010000000250,10,2015-03-27 18:06:44,0,1,赵楠楠,1
10000010000000251,10,2015-04-05 18:06:44,1,1,李阳,1
10000010000000252,10,2015-05-24 18:06:44,1,1,韩娜娜,0
10000010000000253,9,2015-05-01 18:06:44,1,0,赵浩,0
10000010000000254,10,2015-04-28 18:06:44,0,0,陈星,1
10000010000000255,9,2015-03-19 18:06:44,0,0,何静,0
10000010000000256,10,2015-06-03 18:06:44,0,0,何小小,1
10000010000000257,9,2015-03-21 18:06:44,1,1,王贤重,0
10000010000000258,10,2015-04-18 18:06:44,0,1,张浩,1
10000010000000259,10,2015-04-09 18:06:44,0,0,吴月月,0
10000010000000260,10,2015-05-27 18:06:44,0,0,孙浩,0
10000010000000261,10,2015-04-10 18:06:44,0,0,钱峰,0
10000010000000262,10,2015-05-02 18:06:44,0,1,钱夜,0
10000010000000263,9,2015-05-19 18:06:44,1,0,吴龙,1
10000010000000264,9,2015-03-22 18:06:44,1,0,吴浙东,0
10000010000000265,9,2015-05-20 18:06:44,0,1,李年,1
10000010000000266,10,2015-04-14 18:06:44,0,1,周亮亮,0
10000010000000267,9,2015-05-23 18:06:44,1,0,刘天明,1
10000010000000268,10,2015-05-22 18:06:44,0,0,何修,1
10000010000000269,10,2015-04-29 18:06:44,0,0,钱晓东,0
10000010000000270,10,2015-03-17 18:06:44,1,0,胡浩,0
10000010000000271,9,2015-03-29 18:06:44,1,1,刘晓东,1
10000010000000272,10,2015-04-08 18:06:44,0,1,蒋赏,0
10000010000000273,10,2015-05-19 18:06:44,0,1,冯阳,1
10000010000000274,10,2015-04-20 18:06:44,0,1,钱雨,0
10000010000000275,10,2015-04-22 18:06:44,0,0,钱峰,1
10000010000000276,10,2015-05-16 18:06:44,0,0,陈阳,1
10000010000000277,9,2015-04-21 18:06:44,0,0,韩星,0
10000010000000278,10,2015-05-21 18:06:44,1,0,卫一菲,0
10000010000000279,9,2015-05-04 18:06:44,1,1,王小小,1
10000010000000280,10,2015-05-14 18:06:44,1,0,潘娜娜,0
10000010000000281,10,2015-05-07 18:06:44,1,1,赵年,1
10000010000000282,9,2015-06-07 18:06:44,0,0,沈亮亮,1
10000010000000283,10,2015-04-17 18:06:44,0,0,潘峰,0
10000010000000284,9,2015-05-02 18:06:44,0,0,蒋花,0
10000010000000285,10,2015-03-13 18:06:44,0,0,李月月,1
10000010000000286,10,2015-05-28 18:06:44,0,0,李赏,1
10000010000000287,9,2015-06-01 18:06:44,0,1,钱夜,1
10000010000000288,10,2015-05-03 18:06:44,0,0,张明浩,0
10000010000000289,10,2015-03-26 18:06:44,0,0,吴星,0
10000010000000290,9,2015-04-17 18:06:44,1,0,何浙东,0
10000010000000291,10,2015-04-12 18:06:44,0,0,韩花,1
10000010000000292,9,2015-05-22 18:06:44,0,1,李雨,0
10000010000000293,10,2015-03-17 18:06:44,1,1,沈峰,1
10000010000000294,9,2015-06-09 18:06:44,0,0,胡浙东,1
10000010000000295,9,2015-04-05 18:06:44,0,0,蒋夜,1
10000010000000296,9,2015-03-20 18:06:44,1,1,王花,1
10000010000000297,9,2015-05-30 18:06:44,0,0,柳修,1
10000010000000298,10,2015-03-18 18:06:44,1,0,蒋月月,0
10000010000000299,10,2015-05-14 18:06:44,0,1,冯贤重,0
10000010000000300,9,2015-05-21 18:06:44,0,1,王雨,0
10000010000000301,10,2015-03-13 18:06:44,0,0,刘星,0
10000010000000302,9,2015-04-12 18:06:44,1,1,胡浩,0
10000010000000303,10,2015-04-28 18:06:44,1,1,吴小小,1
10000010000000304,10,2015-03-27 18:06:44,0,0,马天明,1
10000010000000305,10,2015-06-08 18:06:44,0,0,柳浩,1
10000010000000306,10,2015-04-19 18:06:44,1,1,韩总,1
10000010000000307,10,2015-03-12 18:06:44,1,0,蒋明浩,0
10000010000000308,9,2015-03-26 18:06:44,0,1,李天明,1
10000010000000309,10,2015-05-07 18:06:44,0,1,冯月月,1
10000010000000310,9,2015-04-09 18:06:44,0,1,吴浩,1
10000010000000311,10,2015-04-10 18:06:44,1,1,韩明浩,0
10000010000000312,10,2015-04-10 18:06:44,1,1,刘浙东,0
10000010000000313,9,2015-04-18 18:06:44,0,1,周娜娜,1
10000010000000314,9,2015-03-20 18:06:44,1,0,王阳,1
10000010000000315,10,2015-04-11 18:06:44,0,0,吴阳,0
10000010000000316,10,2015-04-17 18:06:44,1,1,卫天明,0
10000010000000317,9,2015-03-21 18:06:44,0,0,周楠楠,0
10000010000000318,9,2015-03-30 18:06:44,0,1,张赏,1
10000010000000319,10,2015-05-18 18:06:44,0,1,马静,0
10000010000000320,10,2015-05-28 18:06:44,0,0,沈雨,1
10000010000000321,10,2015-04-14 18:06:44,1,1,冯雨,0
10000010000000322,10,2015-05-18 18:06:44,1,1,沈天明,1
10000010000000323,10,2015-05-01 18:06:44,0,1,李龙,1
10000010000000324,9,2015-03-19 18:06:44,1,0,朱峰,0
10000010000000325,10,2015-03-24 18:06:44,1,0,冯月月,0
10000010000000326,9,2015-05-01 18:06:44,0,1,周阳,1
10000010000000327,10,2015-03-29 18:06:44,0,1,钱月月,0
10000010000000328,10,2015-04-09 18:06:44,1,1,钱娜娜,0
10000010000000329,10,2015-05-15 18:06:44,0,1,陈赏,0
10000010000000330,10,2015-03-13 18:06:44,0,1,刘静,1
10000010000000331,10,2015-03-25 18:06:44,1,1,冯夜,1
10000010000000332,9,2015-06-03 18:06:44,1,1,孙月月,1
10000010000000333,10,2015-04-14 18:06:44,1,1,胡年,1
10000010000000334,9,2015-04-20 18:06:44,0,0,吴年,1
10000010000000335,10,2015-03-17 18:06:44,1,0,王天明,0
10000010000000336,9,2015-04-05 18:06:44,0,1,孙小小,1
10000010000000337,10,2015-04-20 18:06:44,0,0,周楠楠,1
10000010000000338,9,2015-05-10 18:06:44,0,1,韩月月,1
10000010000000339,9,2015-03-13 18:06:44,1,0,周赏,0
10000010000000340,9,2015-05-18 18:06:44,0,0,李赏,1
10000010000000341,9,2015-04-16 18:06:44,0,0,马晓东,1
10000010000000342,9,2015-04-15 18:06:44,1,0,周赏,1
10000010000000343,9,2015-06-05 18:06:44,1,0,孙明浩,1
10000010000000344,10,2015-05-19 18:06:44,0,1,钱晓东,1
10000010000000345,10,2015-04-15 18:06:44,1,0,王修,1
10000010000000346,10,2015-03-24 18:06:44,1,0,钱娜娜,0
10000010000000347,10,2015-04-01 18:06:44,1,0,柳龙,0
10000010000000348,10,2015-04-01 18:06:44,1,0,沈夜,1
10000010000000349,9,2015-05-02 18:06:44,0,1,周浩,0
10000010000000350,10,2015-04-30 18:06:44,1,0,胡楠楠,0
10000010000000351,10,2015-05-19 18:06:44,1,0,杨娜娜,0
10000010000000352,10,2015-04-24 18:06:44,0,1,蒋阳,1
10000010000000353,9,2015-04-02 18:06:44,1,1,赵明浩,1
10000010000000354,9,2015-04-09 18:06:44,0,1,卫晓东,1
10000010000000355,9,2015-05-14 18:06:44,0,0,杨夜,0
10000010000000356,10,2015-03-15 18:06:44,0,0,潘娜娜,1
10000010000000357,10,2015-03-31 18:06:44,1,0,钱明浩,0
10000010000000358,10,2015-04-05 18:06:44,1,0,卫晓东,1
10000010000000359,9,2015-04-25 18:06:44,0,0,卫浙东,1
10000010000000360,9,2015-04-08 18:06:44,1,1,周明浩,1
10000010000000361,10,2015-05-31 18:06:44,1,1,张明浩,1
10000010000000362,10,2015-04-06 18:06:44,0,1,潘静,0
10000010000000363,10,2015-04-22 18:06:44,0,1,孙修,0
10000010000000364,10,2015-05-15 18:06:44,1,0,钱一菲,0
10000010000000365,9,2015-05-22 18:06:44,0,1,郑贤重,0
10000010000000366,10,2015-05-18 18:06:44,1,1,郑花,0
10000010000000367,9,2015-03-29 18:06:44,0,0,李浙东,0
10000010000000368,9,2015-06-02 18:06:44,0,0,刘星,0
10000010000000369,9,2015-03-30 18:06:44,1,0,王花,1
10000010000000370,9,2015-05-04 18:06:44,0,0,冯月月,1
10000010000000371,10,2015-04-22 18:06:44,0,1,钱明浩,0
10000010000000372,9,2015-04-24 18:06:44,1,0,钱楠楠,1
10000010000000373,10,2015-03-22 18:06:44,0,1,陈花,1
10000010000000374,10,2015-05-20 18:06:44,1,0,陈年,0
10000010000000375,10,2015-04-18 18:06:44,0,1,张晓东,1
10000010000000376,9,2015-05-10 18:06:44,0,0,赵总,0
10000010000000377,9,2015-05-25 18:06:44,1,0,钱娜娜,0
10000010000000378,9,2015-05-15 18:06:44,1,1,蒋夜,0
10000010000000379,9,2015-03-24 18:06:44,1,0,杨峰,0
10000010000000380,9,2015-06-06 18:06:44,0,0,李总,1
10000010000000381,9,2015-03-27 18:06:44,1,0,潘一菲,1
10000010000000382,9,2015-04-01 18:06:44,1,1,钱月月,1
10000010000000383,9,2015-04-22 18:06:44,1,0,赵天明,0
10000010000000384,9,2015-04-18 18:06:44,0,0,钱花,0
10000010000000385,10,2015-05-18 18:06:44,1,0,钱小小,0
10000010000000386,10,2015-06-06 18:06:44,0,0,吴阳,1
10000010000000387,10,2015-04-25 18:06:44,0,0,蒋晓东,0
10000010000000388,10,2015-06-05 18:06:44,0,1,胡赏,1
10000010000000389,9,2015-03-30 18:06:44,0,1,沈峰,1
10000010000000390,9,2015-03-12 18:06:44,0,1,卫晓东,0
10000010000000391,10,2015-04-22 18:06:44,1,1,卫静,1
10000010000000392,10,2015-05-21 18:06:44,0,1,冯星,1
10000010000000393,10,2015-03-26 18:06:44,1,0,李静,1
10000010000000394,9,2015-05-24 18:06:44,1,1,胡明浩,0
10000010000000395,9,2015-03-18 18:06:44,1,0,张浩,1
10000010000000396,9,2015-06-04 18:06:44,0,0,卫阳,0
10000010000000397,10,2015-05-01 18:06:44,0,0,何静,1
10000010000000398,9,2015-04-09 18:06:44,0,1,吴雨,0
10000010000000399,9,2015-03-22 18:06:44,1,0,张阳,1
10000010000000400,9,2015-05-03 18:06:44,1,1,陈修,0
10000010000000401,9,2015-04-21 18:06:44,0,1,杨晓东,1
10000010000000402,9,2015-06-09 18:06:44,0,1,刘晓东,1
10000010000000403,9,2015-05-02 18:06:44,0,0,朱楠楠,1
10000010000000404,9,2015-04-20 18:06:44,1,1,李贤重,0
10000010000000405,9,2015-05-01 18:06:44,0,1,吴亮亮,1
10000010000000406,9,2015-06-06 18:06:44,0,1,周明浩,0
10000010000000407,9,2015-06-07 18:06:44,0,1,李浩,0
10000010000000408,10,2015-05-11 18:06:44,0,1,李赏,1
10000010000000409,10,2015-06-09 18:06:44,1,1,周贤重,0
10000010000000410,9,2015-05-14 18:06:44,0,0,朱浙东,0
10000010000000411,9,2015-04-02 18:06:44,0,1,张龙,1
10000010000000412,10,2015-03-29 18:06:44,1,0,吴楠楠,0
10000010000000413,9,2015-04-03 18:06:44,0,0,潘小小,1
10000010000000414,10,2015-05-17 18:06:44,1,0,胡浙东,0
10000010000000415,10,2015-04-25 18:06:44,1,0,钱星,0
10000010000000416,9,2015-05-15 18:06:44,1,1,孙浙东,0
10000010000000417,10,2015-03-19 18:06:44,1,1,王晓东,1
10000010000000418,10,2015-04-13 18:06:44,1,0,蒋赏,0
10000010000000419,10,2015-04-13 18:06:44,1,0,马峰,0
10000010000000420,9,2015-04-08 18:06:44,0,0,柳浩,1
10000010000000421,9,2015-04-11 18:06:44,0,0,刘浩,0
